target,held_out_group,variant_id,delta_AP,delta_F1,delta_AP_lift,macro_delta_AP,macro_delta_F1,pooled_delta_AP,pooled_delta_F1,retained_AP_lift_ratio,mixed_domain_ap_decline_count,mixed_domain_count,domains_with_ap_decline_gte_0p05,frozen_dependency_classification
looping,assistantbench,S1_no_termination,0.0,0.0,0.0,-0.0010462000087302359,0.030107724986994988,-0.007939473799514873,0.022794384292596948,0.9783460121677947,1,4,0,limited_dependency
looping,visualwebarena,S1_no_termination,0.0,0.07499999999999996,0.0,-0.0010462000087302359,0.030107724986994988,-0.007939473799514873,0.022794384292596948,0.9783460121677947,1,4,0,limited_dependency
looping,webarena,S1_no_termination,-0.004859271297627421,0.045430899947979886,-0.0048592712976274766,-0.0010462000087302359,0.030107724986994988,-0.007939473799514873,0.022794384292596948,0.9783460121677947,1,4,0,limited_dependency
looping,workarena,S1_no_termination,0.0006744712627064775,0.0,0.0006744712627064775,-0.0010462000087302359,0.030107724986994988,-0.007939473799514873,0.022794384292596948,0.9783460121677947,1,4,0,limited_dependency
looping,assistantbench,S2_no_repetition,0.0,0.0,0.0,-0.03169777524847239,0.005986064127529223,-0.04233232096223949,0.007885581754928483,0.8845435369934274,3,4,1,limited_dependency
looping,visualwebarena,S2_no_repetition,-0.04387755102040802,0.0,-0.04387755102040791,-0.03169777524847239,0.005986064127529223,-0.04233232096223949,0.007885581754928483,0.8845435369934274,3,4,1,limited_dependency
looping,webarena,S2_no_repetition,-0.053104132473522636,0.045430899947979886,-0.05310413247352269,-0.03169777524847239,0.005986064127529223,-0.04233232096223949,0.007885581754928483,0.8845435369934274,3,4,1,limited_dependency
looping,workarena,S2_no_repetition,-0.02980941749995869,-0.021486643437862996,-0.02980941749995869,-0.03169777524847239,0.005986064127529223,-0.04233232096223949,0.007885581754928483,0.8845435369934274,3,4,1,limited_dependency
looping,assistantbench,S3_no_activity_volume,0.03737373737373739,0.0,0.03737373737373739,0.04886431195725116,-0.03942416948741678,0.0505966328555143,-0.05019751162228259,1.137996408813744,2,4,0,limited_dependency
looping,visualwebarena,S3_no_activity_volume,-0.01468253968253963,-0.03076923076923077,-0.01468253968253963,0.04886431195725116,-0.03942416948741678,0.0505966328555143,-0.05019751162228259,1.137996408813744,2,4,0,limited_dependency
