metric_name,target,exact_value,display_value,source_artifact,table_id,figure_id,allowed_sections,rounding_rule,verified
top_structural_signals:observation_char_count_mean_nonempty,looping,-0.8303141879031721,-0.830,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,coefficient_3_decimal_places,true
top_structural_signals:nonempty_action_count,looping,0.6951595977941223,0.695,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,coefficient_3_decimal_places,true
top_structural_signals:nonempty_observation_count,looping,0.6951595977941223,0.695,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,coefficient_3_decimal_places,true
top_structural_signals:step_count,looping,0.6951595977941223,0.695,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,coefficient_3_decimal_places,true
top_structural_signals:nonempty_focused_element_count,looping,0.6695402954920133,0.670,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,coefficient_3_decimal_places,true
metadata_AP,looping,0.5686989238427644,0.569,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,predictive_metric_3_decimal_places,true
metadata_AP_lift,looping,0.0993111687407236,0.099,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,predictive_metric_3_decimal_places,true
frozen_B2_dev_AP,looping,0.9140810084290651,0.914,artifacts/a2_3_table_5_interpretability_error_summary.csv,Table5_Interpretability_Failure_Summary,,Results R5;Results R6;Discussion;Appendix,predictive_metric_3_decimal_places,true
AP_lift,Success,0.38956726077582238,0.390,artifacts/a2_3_table_1_main_heldout_results.csv,,Fig2_Heldout_AP_Lift_CI,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
AP_lift_CI_low,Success,0.32680649134080703,0.327,artifacts/a2_3_table_1_main_heldout_results.csv,,Fig2_Heldout_AP_Lift_CI,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
AP_lift_CI_high,Success,0.45541133477850798,0.455,artifacts/a2_3_table_1_main_heldout_results.csv,,Fig2_Heldout_AP_Lift_CI,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
AP_lift,Looping,0.39482874526785017,0.395,artifacts/a2_3_table_1_main_heldout_results.csv,,Fig2_Heldout_AP_Lift_CI,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
